order_id,products_json,customer_type,budget_tier
synth_ord_0001,"[""prod-1"", ""prod-5""]",audiophile_creator,premium
synth_ord_0002,"[""prod-6""]",audiophile_creator,premium
synth_ord_0003,"[""prod-50"", ""prod-45""]",student_budget,budget
synth_ord_0004,"[""prod-18"", ""prod-38""]",tech_enthusiast,mid-range
synth_ord_0005,"[""prod-45"", ""prod-50""]",student_budget,budget
synth_ord_0006,"[""prod-25"", ""prod-22""]",tech_enthusiast,mid-range
synth_ord_0007,"[""prod-50"", ""prod-45""]",student_budget,budget
synth_ord_0008,"[""prod-38""]",fitness_pro,mid-range
synth_ord_0009,"[""prod-48""]",audiophile_creator,premium
synth_ord_0010,"[""prod-15"", ""prod-16"", ""prod-14""]",student_budget,budget
synth_ord_0011,"[""prod-35"", ""prod-38""]",fitness_pro,mid-range
synth_ord_0012,"[""prod-42"", ""prod-41""]",audiophile_creator,premium
synth_ord_0013,"[""prod-23"", ""prod-24""]",tech_enthusiast,mid-range
synth_ord_0014,"[""prod-23"", ""prod-9""]",audiophile_creator,premium
synth_ord_0015,"[""prod-35"", ""prod-38"", ""prod-18"", ""prod-37""]",fitness_pro,mid-range
synth_ord_0016,"[""prod-42"", ""prod-17""]",fitness_pro,mid-range
synth_ord_0017,"[""prod-27"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0018,"[""prod-42"", ""prod-40"", ""prod-43"", ""prod-41""]",executive_premium,premium
synth_ord_0019,"[""prod-18"", ""prod-37""]",tech_enthusiast,mid-range
synth_ord_0020,"[""prod-36"", ""prod-34""]",executive_premium,premium
synth_ord_0021,"[""prod-46"", ""prod-50"", ""prod-41""]",student_budget,budget
synth_ord_0022,"[""prod-50""]",student_budget,budget
synth_ord_0023,"[""prod-42""]",executive_premium,premium
synth_ord_0024,"[""prod-1"", ""prod-6""]",audiophile_creator,premium
synth_ord_0025,"[""prod-2"", ""prod-39""]",executive_premium,premium
synth_ord_0026,"[""prod-16"", ""prod-20""]",student_budget,budget
synth_ord_0027,"[""prod-6""]",executive_premium,premium
synth_ord_0028,"[""prod-35""]",student_budget,budget
synth_ord_0029,"[""prod-3"", ""prod-8""]",tech_enthusiast,mid-range
synth_ord_0030,"[""prod-42"", ""prod-40"", ""prod-43""]",executive_premium,premium
synth_ord_0031,"[""prod-15"", ""prod-29""]",fitness_pro,mid-range
synth_ord_0032,"[""prod-46"", ""prod-45""]",student_budget,budget
synth_ord_0033,"[""prod-45""]",student_budget,budget
synth_ord_0034,"[""prod-15"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0035,"[""prod-37""]",audiophile_creator,premium
synth_ord_0036,"[""prod-25""]",tech_enthusiast,mid-range
synth_ord_0037,"[""prod-15"", ""prod-16"", ""prod-20""]",mobile_professional,mid-range
synth_ord_0038,"[""prod-25""]",audiophile_creator,premium
synth_ord_0039,"[""prod-9"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0040,"[""prod-43"", ""prod-41""]",executive_premium,premium
synth_ord_0041,"[""prod-9"", ""prod-47""]",tech_enthusiast,mid-range
synth_ord_0042,"[""prod-14"", ""prod-8"", ""prod-7"", ""prod-10""]",tech_enthusiast,mid-range
synth_ord_0043,"[""prod-27""]",tech_enthusiast,mid-range
synth_ord_0044,"[""prod-46"", ""prod-45""]",student_budget,budget
synth_ord_0045,"[""prod-40"", ""prod-43""]",executive_premium,premium
synth_ord_0046,"[""prod-39"", ""prod-37""]",student_budget,budget
synth_ord_0047,"[""prod-46"", ""prod-50""]",student_budget,budget
synth_ord_0048,"[""prod-23"", ""prod-24""]",tech_enthusiast,mid-range
synth_ord_0049,"[""prod-20""]",fitness_pro,mid-range
synth_ord_0050,"[""prod-5""]",executive_premium,premium
synth_ord_0051,"[""prod-16"", ""prod-26"", ""prod-20""]",executive_premium,premium
synth_ord_0052,"[""prod-47"", ""prod-49"", ""prod-11"", ""prod-48""]",fitness_pro,mid-range
synth_ord_0053,"[""prod-9"", ""prod-28""]",tech_enthusiast,mid-range
synth_ord_0054,"[""prod-43"", ""prod-42""]",executive_premium,premium
synth_ord_0055,"[""prod-47""]",fitness_pro,mid-range
synth_ord_0056,"[""prod-26""]",mobile_professional,mid-range
synth_ord_0057,"[""prod-9"", ""prod-27""]",tech_enthusiast,mid-range
